 written on  2Oct2023 at 15:32:43 
           3
         125
    8    4    4    4    8    4    2    2    2    4    4    2    2    2    4
    4    2    2    2    4    8    4    4    4    8    4    2    2    2    4
    2    1    1    1    2    2    1    1    1    2    2    1    1    1    2
    4    2    2    2    4    4    2    2    2    4    2    1    1    1    2
    2    1    1    1    2    2    1    1    1    2    4    2    2    2    4
    4    2    2    2    4    2    1    1    1    2    2    1    1    1    2
    2    1    1    1    2    4    2    2    2    4    8    4    4    4    8
    4    2    2    2    4    4    2    2    2    4    4    2    2    2    4
    8    4    4    4    8
   -2    2    1    2    2    0.004550   -0.000002
   -2    2    1    3    2    0.000397   -0.000896
   -2    2    1    1    3    0.001282    0.001540
   -2    2    1    2    3    0.000395    0.000892
   -2    2    1    3    3   -0.007939    0.000002
   -2    2    2    1    1    0.000365    0.000000
   -2    2    2    2    1   -0.001218   -0.000172
   -2    2    2    3    1   -0.001920    0.001416
   -2    2    2    1    2   -0.001218    0.000172
   -2    2    2    2    2   -0.005161    0.000000
   -2    2    2    3    2   -0.000405    0.000786
   -2    2    2    1    3   -0.001920   -0.001416
   -2    2    2    2    3   -0.000405   -0.000786
   -2    2    2    3    3    0.003483    0.000000
   -1   -2   -2    1    1   -0.004569    0.000010
   -1   -2   -2    2    1    0.002199    0.000228
   -1   -2   -2    3    1    0.002505   -0.001263
   -1   -2   -2    1    2    0.002180   -0.000217
   -1   -2   -2    2    2    0.004164   -0.000004
   -1   -2   -2    3    2    0.000246   -0.000808
   -1   -2   -2    1    3    0.002480    0.001303
   -1   -2   -2    2    3    0.000278    0.000775
   -1   -2   -2    3    3   -0.004316   -0.000006
   -1   -2   -1    1    1   -0.002156   -0.000002
   -1   -2   -1    2    1   -0.000300   -0.000046
   -1   -2   -1    3    1   -0.003553    0.001291
   -1   -2   -1    1    2   -0.000301    0.000069
   -1   -2   -1    2    2   -0.005018   -0.000006
   -1   -2   -1    3    2   -0.000145    0.000690
   -1   -2   -1    1    3   -0.003518   -0.001346
   -1   -2   -1    2    3   -0.000182   -0.000653
   -1   -2   -1    3    3    0.001504    0.000008
